Chn,dec,id,Time,t,B0,B0,B0,,C0,,,,,,,
322,355,163,27626.73681,0.1862,-179,,,,-163,,,,-159,,,
323,560,230,27626.73706,0.18645,-384,,,,-368,,,,-364,,,
324,803,323,27626.73723,0.18662,-627,,,,-611,,,,-607,,,
325,1280,500,27626.73749,0.18688,-1104,,,,-1088,,,,-1084,,,
326,1381,565,27626.73774,0.18713,-1205,,,,-1189,,,,-1185,,,
327,355,163,27626.73834,0.18773,-179,,,,-163,,,,-159,,,
328,1381,565,27626.73877,0.18816,-1205,,,,-1189,,,,-1185,,,
329,355,163,27626.73979,0.18918,-179,,,,-163,,,,-159,,,
330,1381,565,27626.74022,0.18961,-1205,,,,-1189,,,,-1185,,,
331,355,163,27626.74184,0.19123,-179,,,,-163,,,,-159,,,
332,1381,565,27626.74227,0.19166,-1205,,,,-1189,,,,-1185,,,
333,355,163,27626.74389,0.19328,-179,,,,-163,,,,-159,,,
334,1381,565,27626.74431,0.1937,-1205,,,,-1189,,,,-1185,,,
,163,000000A3,27626.74551,0.1949,13,,,,29,,,,33,,,
,144,90,27626.74577,0.19516,32,,,,48,,,,52,,,
,152,98,27626.74602,0.19541,24,,,,40,,,,44,,,
,178,000000B2,27626.74628,0.19567,-2,,,,14,,,,18,,,
,179,000000B3,27626.74653,0.19592,-3,,,,13,,,,17,,,
,355,163,27626.74679,0.19618,-179,,,,-163,,,,-159,,,
,560,230,27626.74705,0.19644,-384,,,,-368,,,,-364,,,
,803,323,27626.7473,0.19669,-627,,,,-611,,,,-607,,,
,1280,500,27626.74756,0.19695,-1104,,,,-1088,,,,-1084,,,
,1381,565,27626.74773,0.19712,-1205,,,,-1189,,,,-1185,,,
,355,163,27626.74841,0.1978,-179,,,,-163,,,,-159,,,
,1381,565,27626.74875,0.19814,-1205,,,,-1189,,,,-1185,,,
,355,163,27626.75003,0.19942,-179,,,,-163,,,,-159,,,
,1381,565,27626.75046,0.19985,-1205,,,,-1189,,,,-1185,,,
,355,163,27626.75208,0.20147,-179,,,,-163,,,,-159,,,
,1381,565,27626.75242,0.20181,-1205,,,,-1189,,,,-1185,,,
,355,163,27626.75413,0.20352,-179,,,,-163,,,,-159,,,
,1381,565,27626.75447,0.20386,-1205,,,,-1189,,,,-1185,,,
,163,000000A3,27626.75558,0.20497,13,,,,29,,,,33,,,
,144,90,27626.75575,0.20514,32,,,,48,,,,52,,,
,152,98,27626.75601,0.2054,24,,,,40,,,,44,,,
